5.0,,"April 20, 2019",No,None,0
1.0,"Disappointing
  
","April 7, 2019",Yes,So I get this phone. and I'm very disappointed. not with the phone. the phone is amazing and does everything I like plus more. but I never got the wireless earbuds that everyone else gets with theres. and then the charger port I cant use because it's for a different country. so now I cant enjoy fast charge and it sucks. do not buy this phone online. go to a store,69
3.0,"Here is the deal..
  
","June 17, 2019",Yes,"So this phone is not fake as some are claiming in these reviews. But also the phone DOES NOT have official Samsung warranty IN THE USA as the seller misled me to think in his answer to this question. Mine comes from Singapore, if I need to fix it, it is fixable only in that country as Samsung rep explained. This is a real Samsung Galaxy S10+, brand new, working perfectly fine. However, this is the international model. it is not under warranty in the US and it is not even fixable in the US because the parts are different. It does not have The American Qualcomm Snapdragon Octa-core processor, it has an equivalent Samsung processor Exynos 9820 (8 nm).  Don't know the difference in performance but the rear camera quality is really disappointing. Could be because the CPU processes pictures differently as I have seen amazing S10+ pictures unlike the ones this phone takes. All five cameras are working fine (tested)The 3 stars are for the misleading product description.",45
5.0,"Real device, really great product upgrade
  
","April 20, 2019",Yes,"Upgraded from the Note8 to this phone, the S10+, and I really enjoy using it. Transition was seamless, and the experience of usage is great and what you would expect of a flagship. The camera quality, and capabilities, are great. I actually enjoy using this phone more than my usage of my Note8. Definitely recommend the upgrade if you are on an 8th generation or earlier.Box came with serial number stickers, charging block (European connection), USB-C cable, USB-C to USB-A adapter, AKG headphones, a clear case, and paperwork. I did not put on the case on or use it at all, but I would say that it would only be good for small bumps and scratches, definitely not drops.I have purchased two cases, the Spigen Rugged Armor (thin protective case) and an Encased belt clip designed for that case (which is a nice combination). The second case I purchased is the Otterbox Defender, which I haven't received or used yet, but I'm looking forward to using it based on the reviews of others on YouTube.Incase you are wondering, it is the real thing, came to me brand new in the plastic wrap, with the Samsung manufacturer's seal unbroken.",40
5.0,"Awesome phone - Best in a class Brand New Original S10+
  
","March 1, 2019",Yes,"Bast Phone of 2019, received the phone quickly and yes its original. I love this phone. Ultrasonic fingerprint reader is really cool feature.",31
5.0,"Amazing phone!
  
","May 11, 2019",Yes,"I can not stress to someone who is thinking about purchasing this phone, how much I absolutely love mine! This is hands down, the best phone I've ever had. This is a little strange of Samsung because they are dabbling with technology in this phone that really hasn't been used ever so there are some kinks. For instance, the fingerprint reader is not the best in the world, they honestly would have been better off with an optical in-screen scanner like the ones on the oneplus 6T in my opinion. The facial recognition isnt the greatest but it's very decent. I understand they had to sacrifice hefty more accurate components for more screen real estate and that is honestly a sacrifice I'm willing to make. This phone is the fastest peace of technology I've ever seen, its ridiculous. Snap 855 and 8gb of ram, you cant beat it! I enjoy the attempts at pursuing new tech and this phone to me, is an embodiment of that. I hope the tech gets better, but I won't see it for another 5 years at this price!",21
5.0,"European phone used in USA
  
","April 30, 2019",Yes,"Great phone, just had an issue with my Internet when I changed my plan on at&amp;t.  I lost all Internet connection. Since I never sold my old phone they were able to mimic my old phone that was purchased through at&amp;t and my Internet was restored.",18
5.0,"Real S10+ week early
  
","February 28, 2019",Yes,"Phone came a week early, no issues I am a happy customer. Got mine 2/27/19",18
2.0,"Disappointed
  
","November 8, 2019",Yes,"I upgraded from a S7 Activate, I was researching the iphonex,  Huawei m30 pro and this Samsung s10+. My no.1 reason for choosing a phone would be the camera. I chose this S10+ cause I thought it had it all, better applications compared to iPhone which are very limited, I know for a fact iphone cameras are good also the p30 pro but I saw others say that this camera was also a good one.I received the phone well packaged, brand new etcHowever the camera is a little overrateded. My s7 took almost the same pics and maybe even better.My advise you'll be disappointed to invest in this phone thinking it's as good as the other 2.I'm disappointed I live in the Caribbean so to return this will be difficult.The camera isn't that good. The front facing camera will not give you the images you are expecting.",7
5.0,"New
  
","March 6, 2019",Yes,I like the S10+ Its a Powerful Phone and i like the Powershare Mode is Very Good to,12
5.0,"Samsung s10+
  
","March 28, 2019",Yes,product is good but 11 days late from original shipdate,9
5.0,,"April 20, 2019",No,None,0
5.0,"Great phone overall.
  
","June 10, 2019",Yes,"The battery life is superb. I get through an entire day easily.The fingerprint reader is very specific to the location of your finger. Needs to be properly placed.The phone is overall a superb buy. Would recommend to anyone. The camera is amazing. It may take some time to focus sometimes, but the quality is so good that I hate it because it shows how ugly I truly am.",6
5.0,"Equipo nuevo, a tiempo pero con cargador europeo.
  
","May 9, 2019",Yes,"El producto me llegó a tiempo, sellado en perfectas condiciones.Negativo: el único detalle es que el cargador es europeo. Fuera de eso, todo fue genial con el comprador.",6
1.0,"??????  Language barrier
  
","June 6, 2019",Yes,No English on the phone. No English in the instruction manual. No English on anything. I have no idea how to set anything up.,5
5.0,"S10+ a nice Phone, selled by a good vendor.
  
","November 13, 2019",Yes,"There is not too much to say about the phone, it is a flagship and as a flasgship you received what you expected for. There are a lot of reviews of this phone, for some people is the perfect jewel and for other a piece of garbage, so I guess that those opinions are based on the expectations with the phone. I know from the beginning what I was buying and what to expect and I'm not dissapointed. I'm happy with my new phone. The phone was delivered on time in a good shape and complete with all accesories on a sealed box, Great Vendor.  I bought two of this phones, one black and one white, and both were perfect. Thanks.",1
5.0,"Display is everything
  
","July 3, 2019",Yes,"I love this product because even though it is large, it is light and holds well in pocket.The display is just awesome, so if you're intense in multimedia consumption, document browsing and web surfing this phone is for you.Camera(s) is pretty sleek too! but I guess there's an argument to be made whether it is better that the current Pixel or Huawei competitor. Camera doesn't really drive my purchasing decision.",1
5.0,"Muchas gracias
  
","November 26, 2019",Yes,"Mi primera inprecion de el telefono es la mejor perfecto estado , muy lindo , super contento con el producto espero k siga siendo asi segun lo boy usando asta ahora lo mejor de lo mejor biene con todo los articulos inculidos , sus audifonos , el protector , cargador todo muy bueno , estaba preocupado al principio por algunos malos comentarios de las personas pero ahora lo tengo y esta genial super recomendable",2
5.0,"Excellent service
  
","May 24, 2019",Yes,"Arrived earlier than expected. Very happy with the product.No issues whatsoever.This allows you to use sim cards from other countries too, so don't worry about that.",4
2.0,"Ad and bugs blocks the normal funcdtion of the phone
  
","July 15, 2019",Yes,"Everytime, you tried to go to news or other website, it popped out NewLucky 19.top to block the normal browsing feature, and you could not get rid off that screen. You had to retype in website address and go to that particular website, then, it popped up again and blocked it again, I spent 15 min. and could not go to one website. It is frustrating.For phone cleaning feature, you got to download certain app to clean it. It seems not a user friendly phone. I did not explore other features, but it is hard for me to do the browsing and plus, the case for the phone is slippery. I don't feel good when you holding that phone.",1
5.0,"Recibido en tiempo y en buenas condiciones.
  
","July 7, 2019",Yes,"Venía desbloqueado de fábrica, por lo que se conectó sin problemas.. Hasta hora funciona perfectamente",2
5.0,"I really like it, but...
  
","October 11, 2019",Yes,"i wish they have kept the little LED notification light at the top left corner of the phone.  now, you can't tell if you have messages without waking your phone up.  other than that, everything is fine.",1
5.0,,"April 20, 2019",No,None,0
3.0,"Great phone.
  
","May 5, 2019",Yes,Great phone. Just be aware this is the Chinese version.,4
1.0,"Comprar directo con el fabricante
  
","May 21, 2019",Yes,Tenia la pantalla dañada cuando lo recibi y lo debolvi ahora esperp mi rembolso,4
5.0,"Genuine deal, battery seems weaker though
  
","November 5, 2019",Yes,"I've owned Samsung phones for the past 6 years, from the S5 to S8 to S9, S9 plus, S10, and now this S10 plus. Everything seems genuine, but the battery seems to drain a bit quicker than my previous S10. Maybe because it's a dual sim?",0
3.0,"un buen telefono pero no el mejor
  
","May 26, 2019",Yes,el envio es tardado y el cargador es europeo se necesita comprar uno americano pero tiene la mejor pantalla buen procesador la interfas es muy limpia la bateria es buena pero no lo suficiente la carga rapida es muy lenta para lo que vale el telefono aun que en la camara es una de las mejores pero no la mejor... el unico gran defecto desde mi punto de vista es el cargador la bateria se queda corta y la carga rápida que ofrece no es lo suficiente para en telefono,0
5.0,"I LOVE AWESOME UPGRADES!
  
","July 11, 2019",Yes,I love my new phone. I upgraded from a S6 to the 10+OMG! What a difference. I utilized youtube to help me learn how to use all of the new awesome features. Amazon has a smart watch that pairs with the phone.LOVE IT!!!,0
5.0,"Excelente...
  
","April 28, 2019",Yes,"Lo volveria a comprar, uso dos SIMs de compañias diferentes y no tengo problemas..",2
5.0,"Excelente compra
  
","June 27, 2019",Yes,Me gusto todo... compre lo que me ofrecieron .. me gusta el movil y el venderdor cumplio con cada detalle y expectativa...Pdt... muy buen precio,2
5.0,"I'm happy so far.
  
","June 22, 2019",Yes,"I upgraded to S10+ after a long time of using an old A8. I'm very happy after around 3 months of use. I won't go in all the details, as I recommend you to check YouTube videos about it. Overall I would say, it has the best value for money among top segment phones.",1
5.0,"I recommend it
  
","July 3, 2019",Yes,"There was a misunderstanding with the phone case, but it was resolved by the provider who I thank.  With respect to the telephone, it is excellent.",2
1.0,"Fake phone
  
","June 30, 2019",Yes,"The phone is fake. It is not Samsung. The ""cameras"" are drawn on the screen. It is terrible. I'm so disappointed. I'm returning it.",2
5.0,,"April 20, 2019",No,None,0
5.0,"Samsung S10 plus
  
","June 19, 2019",Yes,El celular es espectacular! Lo recibí en tiempo y forma!!! Lo recomiendo!!!,2
5.0,"Samsung Galaxy S10 +
  
","June 16, 2019",Yes,es una herramienta de gran ayuda. Me fascino,2
5.0,"Excellence
  
","October 25, 2019",Yes,"I love this phone... I will always be loyal to Samsung. The camera is amazing, the phone packs alot of power. The company provided all the info needed and the phone works all over the world.",0
2.0,"Wrong charger included!
  
","August 29, 2019",Yes,Only UK Charger in Box 😣. This wasn't clearly mentioned in the product description. Now I need to get a separate fast charger and need to throw this one. Or is there a replacement option?,1
5.0,"Best phone I ever owned!
  
","July 21, 2019",Yes,"What an amazing phone, can do whatever you need, wireless charging and fast charging, battery is solid too, best camera I ever owned! Super happy! Onscreen fingerprint  is amazing too!",0
5.0,"Nice
  
","January 2, 2020",Yes,Did not use fingerprint. Phone is good size and very neet.,0
4.0,"S10 plus
  
","July 2, 2019",Yes,The phone is wonderful take pics very well,1
3.0,"Phone was packaged for the United Arab Emirates
  
","June 7, 2019",Yes,"No huge problems with the phone itself. Took two stars off because this is the European model of the phone, Meaning it has the firmware and charger for use in the United Arab Emirates",1
5.0,"Great phone
  
","December 10, 2019",Yes,"The phone was in superb condition when received. Have been using it. No complaints. As usual, great to use Samsung flagship mobile.",0
4.0,"Good buy
  
","July 13, 2019",Yes,"I really like this mobile, though this my first costliest phone ever i bought. The only  concern i have is, I tried putting the screen guard / tempered glass, but all of these failed to detect the finger print and finally I had to remove them. SO I am bit worried about the scratch in the screen.",0
5.0,,"April 20, 2019",No,None,0
5.0,"Great
  
","July 18, 2019",Yes,"Wow!Great Phone, smooth screen, came with a protector and ear buds. Phone arrived fine. Please update the Tracking system!",0
5.0,"Great
  
","May 19, 2019",Yes,Excelent,1
5.0,"El reconocimiento facial excelente
  
","November 16, 2019",Yes,Muy buen teléfono,0
5.0,"Excelent product
  
","May 24, 2019",Yes,Excelente prioducto 👍🏼,2
4.0,"Buen teléfono
  
","September 3, 2019",Yes,"El teléfono funciona perfectamente, lo uso en Perú sin ningún problema, la cámara es buena, la pantalla es grande, me falta indagar un poco más sus funcionalidades, pero definitivamente vale la pena!",0
5.0,"Excelente
  
","July 13, 2019",Yes,Muy buen telefono excelente bateria para un dia completo recomiendo comprar un protector de pantalla porque con la caida no se rompe pero se se raya los bordes de la pantalla,0
5.0,"Good price
  
","June 26, 2019",Yes,So far so good. No issues in 1 month.,0
5.0,"Thanks
  
","October 3, 2019",Yes,Very good,0
5.0,"I recomended
  
","August 1, 2019",Yes,Great phone,0
4.0,"Good Product
  
","May 30, 2019",Yes,This is a very good phone.,0
5.0,,"April 20, 2019",No,None,0
5.0,"Lo recomiendo!!!!!!
  
","July 9, 2019",Yes,"Excelente teléfono,!!!!!",0
5.0,"EXCELENTE
  
","August 15, 2019",Yes,De LO MEJOR,0
5.0,"Securely packaged
  
","November 21, 2019",Yes,Great condition. Works perfectly.,0
5.0,"Top 10
  
","June 1, 2019",Yes,Works as advertised,0
5.0,"S10 Plus... Get one
  
","July 19, 2019",Yes,The phone is simply awesome. No flaws.,0
5.0,"If you're interested in this phone, then go for it.
  
","August 18, 2019",Yes,"Brand new, never opened for a great price. I'm personally not a fan of the biometric security features. It's a little too personal &amp; invasive for my liking. Other than that. Awesome phone. Very helpful seller as well.",0
5.0,"10+
  
","March 30, 2019",Yes,Very very good!!!,0
1.0,"unimpressed
  
","November 6, 2019",Yes,"i am having significant issues with the phone, it seems to constantly go in and out of connection, drops phone calls, internet is very slow and the speaker and microphone are awful.",0
5.0,"Amazing.
  
","October 23, 2019",Yes,Great phone,1
5.0,"Samsung Galaxy S10+
  
","June 17, 2019",Yes,Great phone with excellent camera,0
5.0,,"April 20, 2019",No,None,0
5.0,"Does not work
  
","August 6, 2019",Yes,"Do not purchase this phone from this seller. This phone claims to be unlocked but does not work on either Verizon, sprint or metro Pcs. Those are the three carriers I tried and I am done and will not continue to Jew trying.",0
5.0,"official product
  
","August 23, 2019",Yes,"Got the phone and it is all good, the only ""problem"" is that the charger has other layout, so if you want to use it, you will need to buy a converter to use it here in America",0
5.0,"Gran teléfono
  
","December 28, 2019",Yes,Que tenga el lector dactilar distinto en la parte trasera como tenía el 9S+,0
1.0,"Dummy/Display S10+
  
","November 25, 2019",Yes,i had received a Dummy/Display S10+ in the package of S10+,1
5.0,"Phone is so onpoint, save me some cash
  
","April 5, 2019",Yes,I love the love already. I got it earlier than expected,1
5.0,"The camera
  
","October 1, 2019",Yes,So far I'm having no problem whatsoever best choice. Except for the front camera I hate how it takes pics. I've seen others pics and mine is crap to their's,0
5.0,"excelente
  
","September 18, 2019",Yes,lo recomiendo,0
5.0,"Everything
  
","August 6, 2019",Yes,It was nice to get it,0
4.0,"Overall ratings
  
","May 28, 2019",Yes,Battery is good. It can last for a day. Camera not as good as advertised,1
5.0,"Great buy
  
","September 30, 2019",Yes,This phone does all for me. Battery life is perfect. I can go all day without charging.,0
5.0,,"April 20, 2019",No,None,0
5.0,"The future is now
  
","August 5, 2019",Yes,It life changing experience i use a Samsung Galaxy Prime for work totally different experience I am able 2 finish my work  a lot quicker,0
5.0,"Product is great, just as described
  
","June 25, 2019",Yes,"Phone is amazing, the battery life is superb, the screen is gorgeous, I was reluctant to get a samsung as I have been an android purist, but Samsung has gone through a lot of years polishing its phones.",0
